[2026-06-25T22:44:31.007739] PRMB | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:31.007984] TGNA | sufijo: — | ignorado — no resoluble
[2026-06-25T22:44:32.585397] BVIC.JK | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:33.170441] 2267.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:33.559918] CBG.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:34.729336] OTLY | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:36.747096] FIZZ | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:36.747202] CMLS | sufijo: — | ignorado — no resoluble
[2026-06-25T22:44:36.747230] AUDA | sufijo: — | ignorado — no resoluble
[2026-06-25T22:44:36.755773] LWAY | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:41.973948] SALM | sufijo: .OL | falló — sufijo cacheado no funciona
[2026-06-25T22:44:46.369853] 2593.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:48.193685] 0220.HK | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:44:49.097306] 0322.HK | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:01.367198] CMCSA | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:10.245517] FOXA | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:12.333777] IHRT | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:15.831549] NXST | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:22.984855] PSM.DE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:22.996100] GTN.AX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:23.625730] FOX.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:23.625883] LGF.A | sufijo: — | ignorado — no resoluble
[2026-06-25T22:45:26.461578] SBGI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:26.461744] BANJ | sufijo: — | ignorado — no resoluble
[2026-06-25T22:45:29.137340] ITV.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:30.243961] SIRI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:31.125465] RRTL.DE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:31.576751] NRG | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:32.468859] BBGI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:35.639768] NFLX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:40.299483] DIS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:45:50.646125] WBD | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:03.485943] C | sufijo: — | ok (raw)
[2026-06-25T22:46:03.768446] ROKU | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:05.731190] SONY | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:06.519572] AMZN | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:09.010221] MS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:09.739999] BAC.DE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:10.017618] GOOGL | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:13.365584] AMCX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:13.376867] RTL.MI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:13.382297] SPOT | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:13.472623] TME | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:15.744367] GS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:17.935662] JPM | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:32.267468] JEF | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:42.150485] LAZ | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:48.271027] EVR.AX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:54.445533] DB | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:54.487673] PJT | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:54.654596] HOOD | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:54.662768] RJF.DE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:54.676625] SCHW | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:55.376355] ETOR | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:55.393184] TIGR | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:55.731957] UBS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:56.802299] IBKR | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:56.811227] LPLA | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:56.846805] HLI.AX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:46:56.951166] FUTU | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:02.366835] PLUS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:03.224641] IGG.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:12.200751] AMP | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:12.207953] BEN | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:12.214188] TROW | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:13.542003] BLK | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:15.079644] JHG | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:16.459853] IVZ | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:17.341964] HOLN.SW | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:17.795867] CMCX.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:17.800307] BCS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:20.654073] NMR | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:20.685155] AMG | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:21.139162] CRH | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:25.634152] CX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:27.497705] METSB | sufijo: .HE | falló — sufijo cacheado no funciona
[2026-06-25T22:47:27.497826] RFP | sufijo: — | ignorado — no resoluble
[2026-06-25T22:47:27.536278] BZU.MI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:29.198613] VMC.AX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:29.204041] EXP.AX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:29.374083] SUM.NZ | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:32.924638] USLM | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:37.898341] 5233.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:37.933013] IFP.TO | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:38.675510] WFG | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:38.727805] MLM | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:43.482470] LPX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:44.205714] STERV.HE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:44.366758] WY | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:44.371660] UFPI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:45.696593] BECN | sufijo: .V | falló — sufijo cacheado no funciona
[2026-06-25T22:47:45.729653] OC | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:46.409984] SGO.PA | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:46.565490] CFP.TO | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:46.590401] APOG | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:46.606507] SUZ | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:47.210774] 5201.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:47.216498] 5202.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:55.117970] CSL | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:57.911860] RDUS | sufijo: .VI | falló — sufijo cacheado no funciona
[2026-06-25T22:47:59.294993] ROCK | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:47:59.340687] JHX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:03.073957] KRX.IR | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:06.015700] ROCK B | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:06.016937] BLD | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:07.238762] IBP | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:07.260381] STLD | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:07.391747] MAS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:08.572792] AKZA | sufijo: .AS | falló — sufijo cacheado no funciona
[2026-06-25T22:48:10.581151] NUE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:10.590448] CMC | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:14.543047] TX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:14.544556] MT | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:14.556779] GGB | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:15.393635] BSL.DE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:15.399009] FCN | sufijo: — | ignorado — no resoluble
[2026-06-25T22:48:23.207134] PPG | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:23.275657] SHW | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:24.078158] ASIANPAINT.NS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:24.085676] RPM | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:25.850965] X.TO | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:28.185151] CLF | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:28.868486] 4612.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:28.889327] HEN3.DE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:28.920587] 4613.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:28.941424] ACN | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:29.634979] AXTA | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:29.661709] BAH | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:31.914819] CRAI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:32.409817] CAP.DE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:32.409694] RGP | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:32.410571] N/A | sufijo: — | ignorado — no resoluble
[2026-06-25T22:48:35.404198] WIT | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:35.413534] RAND | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:36.061342] INFY | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:37.351257] RHI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:40.475527] ADEN.TO | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:40.486247] MAN | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:40.487761] 6098.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:41.855296] KFY | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:45.989333] PAGE.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:51.480165] KELYA | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:52.230149] SECU B | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:53.700918] BCO | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:53.735359] ABM | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:54.679227] PSG.MC | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:54.681051] ADT | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:55.311468] JCI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:56.618568] ALLE | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:48:56.620655] STON | sufijo: — | ignorado — no resoluble
[2026-06-25T22:49:03.547979] 1448 | sufijo: .HK | falló — sufijo cacheado no funciona
[2026-06-25T22:49:06.967395] ISS.VI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:07.126352] RRD | sufijo: .TO | falló — sufijo cacheado no funciona
[2026-06-25T22:49:07.128013] CAJ | sufijo: — | ignorado — no resoluble
[2026-06-25T22:49:07.734681] SW.PA | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:09.276357] QUAD | sufijo: .MI | falló — sufijo cacheado no funciona
[2026-06-25T22:49:09.829909] CTAS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:09.830046] ATUS | sufijo: — | ignorado — no resoluble
[2026-06-25T22:49:09.844129] XRX | sufijo: .DE | falló — sufijo cacheado no funciona
[2026-06-25T22:49:10.153877] CSV | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:10.153805] SCI | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:10.196809] TC1 | sufijo: — | ignorado — no resoluble
[2026-06-25T22:49:10.754393] ORAN | sufijo: — | ignorado — no resoluble
[2026-06-25T22:49:10.756413] MTO.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:10.909151] ARMK | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:10.909641] RTO.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:10.940856] UNF | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:11.101684] IVC.NS | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:11.350516] ANET | sufijo: .TO | falló — sufijo cacheado no funciona
[2026-06-25T22:49:11.353378] HLIT | sufijo: .TO | falló — sufijo cacheado no funciona
[2026-06-25T22:49:11.391636] PLC.AX | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:49:11.496282] DOW | sufijo: .DE | falló — sufijo cacheado no funciona
[2026-06-25T22:49:11.638426] ERIC | sufijo: .DE | falló — sufijo cacheado no funciona
[2026-06-25T22:49:11.645914] WLK | sufijo: .L | falló — sufijo cacheado no funciona
[2026-06-25T22:49:11.646362] PHOR | sufijo: — | ignorado — no resoluble
