[2026-06-25T22:43:21.430660] CW | sufijo: — | ok (raw)
[2026-06-25T22:43:21.520238] SPR.L | sufijo: — | ok (raw)
[2026-06-25T22:43:21.782485] BA.L | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:43:22.246020] VSAT | sufijo: — | ok (raw)
[2026-06-25T22:43:22.413745] SESG.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:22.869906] LUNR | sufijo: — | ok (raw)
[2026-06-25T22:43:22.888922] RDW | sufijo: — | ok (raw)
[2026-06-25T22:43:22.908791] ETL.L | sufijo: — | ok (raw)
[2026-06-25T22:43:22.908899] ATSG | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:23.091560] MDA | sufijo: — | ok (raw)
[2026-06-25T22:43:23.566472] BKSY | sufijo: — | ok (raw)
[2026-06-25T22:43:23.589123] SATL | sufijo: — | ok (raw)
[2026-06-25T22:43:23.621825] PL | sufijo: — | ok (raw)
[2026-06-25T22:43:23.652721] ASTS | sufijo: — | ok (raw)
[2026-06-25T22:43:23.676257] GSAT | sufijo: — | ok (raw)
[2026-06-25T22:43:24.333560] SPIR | sufijo: — | ok (raw)
[2026-06-25T22:43:24.362032] DRS | sufijo: — | ok (raw)
[2026-06-25T22:43:24.600168] SAAB B | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:43:24.870147] LHA.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:25.173382] S63.SI | sufijo: — | ok (raw)
[2026-06-25T22:43:25.473856] SARO | sufijo: — | ok (raw)
[2026-06-25T22:43:25.518186] AVAV | sufijo: — | ok (raw)
[2026-06-25T22:43:25.621687] DPRO | sufijo: — | ok (raw)
[2026-06-25T22:43:25.659942] EH | sufijo: — | ok (raw)
[2026-06-25T22:43:25.676886] RCAT | sufijo: — | ok (raw)
[2026-06-25T22:43:25.868589] 0019.HK | sufijo: — | ok (raw)
[2026-06-25T22:43:25.868692] UAVS | sufijo: — | ok (raw)
[2026-06-25T22:43:25.948555] ONDS | sufijo: — | ok (raw)
[2026-06-25T22:43:25.997051] PARRO.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:26.255670] UMAC | sufijo: — | ok (raw)
[2026-06-25T22:43:26.312093] FCT.AX | sufijo: — | ok (raw)
